"accession_name","branch_number","carotenoid1_8","DM_gravity","DM_yield_ha","germination_perc","height","height_1st_branch","height_wt_leaf","lodging1_3","plant_type","root_constriction1_3","root_length1_3","root_number","root_number_commercial","root_peduncle1_3","root_shape1_6","root_skin_color1_3","root_type1_5","root_weight_plot","thrips1_5","vigor1_5","yield_ha","BLUEs_WAB_20min_10mon","BLUEs_WAB_30min_10mon","BLUEs_carotenoidtotal","BLUEs_betacarotenoid_nirs","BLUEs_DM_nirs","BLUEs_ave_WAB","BLUPs_WAB_20min_10mon","BLUPs_WAB_30min_10mon","BLUPs_carotenoidtotal","BLUPs_betacarotenoid_nirs","BLUPs_DM_nirs","BLUPs_ave_WAB"
"AR18-1",1.8,2.57,24.97,1.96,91.07,188.1,99.26,39.79,1.73,3.23,1.05,2.08,15.39,3.97,1.2,2.91,1.06,3.3,2.97,1.02,4,7.46, , ,2.8,1.3,39.7, , , ,2.6,1.4,39.6, 
"AR42-4",2.53,2.07,30.05,4.88,97.01,196.91,71.68,34.17,1.76,3.76,1.03,2.5,24.13,12.83,1.21,2.92,2.46,2.44,6.26,1.07,4.23,15.21,9.7,28.4,0.5,0.4,40.6,18.6,8.3,19.1,1.1,0.7,40.4,13.6
"ARG73",0.46,2.06,27.86,2.35,96.26,252.76,230.31,54.84,1.24,2.27,1.04,2.12,14.3,5.81,1.12,2.19,3,2.84,3.47,1.02,4.27,8.41,9.1,14.9,1,0.4,42.1,12.6,7,14.7,1.4,0.8,41.6,10.8
"AZULITA",2.12,2.04,28.25,4.06,98.07,236.1,84.7,43.98,2.02,3.17,1.02,2.69,12.86,6.08,1.21,2.9,3,2.63,5.23,1.02,4.37,13.53, , , , , , , , , , , , 
"BRA1016",1.5,2.1,30.02,3.74,96.63,252.74,126.75,52.61,1.88,2.57,1.04,2.41,20.86,7.77,1.15,2.87,2.99,2.5,4.95,1.01,4.34,11.79,12.4,30.3,1.4,1.2,44.4,20.6,11.8,26.4,1.4,1.1,44,19.1
"BRA787",0.86,2.37,22.11,1.3,97.02,240.96,192.18,44.13,2.19,3.02,1.04,2.4,12.74,3.32,1.3,2.38,1.06,3.99,2.15,1.05,3.98,5.15, , , , , , , , , , , , 
"BRA847",1.34,2.09,29.37,1.91,74.73,192.09,115.12,42.14,1.29,3.38,1.06,2.07,16.55,4.55,1.12,2.15,3.03,3.11,2.47,1.06,3.98,5.93, , , , , , , , , , , , 
"BRA97",1.4,2.08,27.79,4.44,96,219.7,150.19,42.93,2.29,3.43,1.04,2.26,23.4,12.49,1.21,2.38,3,2.43,5.29,1.07,4.31,13.74,14.5,25.9,0.5,0.6,42.3,19.9,11,19.1,0.6,0.7,42.4,15
"CM4919-1_is_Veronica",0.23,3.84,30.78,4.87,95.63,196.67,173.91,53.29,1.01,2.19,1.03,2.1,21.84,10.35,1.11,2.9,3.03,2.35,6.2,1.03,4.44,15.13,4.3,8.5,3.8,2.5,37.9,6.5,5.1,10.5,3.3,2,38,8
"CM523-7_is_Catumare",2.63,2.07,31.23,4.99,96.73,226.27,108.13,47.45,1.67,3.7,1.06,2.13,19.11,8.75,1.11,2.67,3,2.52,6.13,1.08,4.34,14.92,6.7,18.7,0.8,0.4,39.4,12.4,6.2,16.2,1,0.6,39.7,11.2
"CM8996-199",2.23,2.06,27.17,2.35,98.51,243.59,158.91,60.24,1.14,2.62,1.07,2.14,22.87,6.23,1.17,2.4,2.98,3.21,3.28,1.05,4.35,7.97,7,15.3,2.3,1.8,42.6,12.3,7.9,17.7,2,1.6,42.2,12.8
"CM8996-246",1.07,2.04,25.91,2.3,98.41,241.69,111.38,41.46,1.14,2.22,1.01,2.18,18.51,6.3,1.13,2.67,3.03,2.51,3.22,1.09,4.35,7.7,11.8,21,1.8,1.3,41.9,15.6,7.5,16.1,1.4,1.1,42.1,11.7
"CM8996-581",3.39,2.05,28.2,2.54,97.51,210.81,102.36,36.82,1.32,3.42,1.04,2.09,25.42,6.2,1.14,2.9,1.04,3.24,3.85,0.94,4.17,9.54, , ,1,0.9,32.5, , , ,1,0.9,33.7, 
"CM8996-596",1.39,2.09,22.98,3.16,96.26,234.64,146.76,48.04,1.21,2.63,1.07,2.14,26.74,10.6,1.21,2.84,2.97,2.2,5.34,1.03,4.07,13.01,9.9,29.4,0.6,0.4,36.1,18.7,9.3,24.9,0.8,0.5,37,17.1
"CM9912-167",0.74,3.14,27.72,3.43,95.61,225.07,154.76,56.82,1.89,3.01,1.05,2.45,18.66,10.73,1.12,2.87,1.07,2.59,4.88,1.07,4.58,11.77,7.1,12.9,2.8,1.5,37.8,9.9,5.3,12.7,2.5,1.5,38.8,9.1
"COL144",1.2,2.12,25.06,1.83,76.35,172.62,89,50,1.71,3.54,1.05,2.39,15.43,5.84,1.15,2.83,3.07,3.4,2.23,1.02,3.97,5.98, , , , , , , , , , , , 
"COL1468",2.91,1.63,23.7,4.03,97.96,230.45,95.21,44.95,1.74,3.43,1.05,2.4,21.32,12.45,1.12,2.18,2.46,2.13,6.74,1.05,4.47,16.02,7.9,14.2,1.3,1.1,39.5,11.1,6,12.4,1.1,1.2,39.7,9.3
"COL1505",1.6,2.28,28.65,3.24,92.01,199.18,128.19,43.67,2.35,3.36,1.04,2.09,19.25,7.22,1.14,2.17,2.42,2.95,3.98,0.93,4.42,10.23, , ,0.6,0.4,38.4, , , ,0.6,0.3,38.5, 
"COL1516",0.96,2.03,30.73,4.06,97,223.49,187.11,61.27,1.64,2.75,1.04,1.88,24.17,11.48,1.07,2.39,2.41,2.5,5.29,1.02,4.33,12.82,5.9,13,0.2,0.1,39.4,9.9,6.5,14.6,0.3,0.2,39.4,10.6
"COL1736",1.16,2.08,33.09,4.27,92.94,204.26,153.73,52.81,1.67,3.03,1.05,2.42,18.38,8.86,1.1,2.44,3.02,2.47,5.25,1.03,4.34,12.86,6.9,20.5,0.4,0.1,41.6,13.4,7.3,18.8,0.4,0.2,41.9,13.1
"COL40",2.73,1.56,27.26,2.14,83.55,206.18,86.53,36.49,1.51,3.56,1.07,1.86,14.06,5.75,1.09,2.66,2.44,3.49,2.71,1.39,4.08,6.72,10.3,23.5,1.5,1.1,39.4,17,6.8,16.7,1.7,1.2,39.4,11.7
"COL764",2.15,2.66,24.5,2.99,97.85,202.79,123.38,33.29,1.13,3.27,1.02,2.08,17.24,8.28,1.13,2.28,1.29,3.08,3.96,1.09,4.29,9.84, , , , , , , , , , , , 
"CR13-8",1.64,2.06,28.18,2.89,95.07,218.42,137.1,45.73,1.93,3.49,1.05,2.47,20.74,9.09,1.18,2.39,2.44,2.71,4.75,1,4.35,10.77,9.8,21,0.7,0.6,43.4,14.4,8.3,16.7,0.8,0.7,43.1,12.4
"CR24-3",1.78,2.07,27.82,5.59,97.5,208.87,123.53,38.88,1.34,3.57,1.04,2.61,22.04,10.55,1.12,2.84,2.42,2.4,7.48,1.11,4.43,18.59,6.1,23.1,0.8,0.7,41.2,14.5,6.1,19.4,0.8,0.8,41.2,12.9
"CR25-4",2.84,2.08,31.19,3.21,95.18,176.97,82.31,27.73,1.38,3.61,1.04,2.06,15.64,6.75,1.12,2.34,3.09,2.93,3.99,1.04,4.05,10.16,6.5,20,1,1,41.8,12.7,6.5,17.2,1.1,1.1,42.1,12
"CR27-20",2.58,1.98,31.46,2.47,97.59,172.31,73.74,32.24,2.11,4.19,1.07,2.1,16.13,5.09,1.26,2.27,1.02,2.87,3.4,1.06,4.2,8.01,8.3,10.5,0.6,0.4,40.4,8.6,9.2,15.8,0.6,0.4,39.8,12.4
