"Date of Download: 2024-07-11_20:11:41"
"Search Parameters: Data Level:all  Trait List:  Trial List:18316  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","branching level counting|CO_334:0000079","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","dry matter content by specific gravity method|CO_334:0000160","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","marketable root number counting|CO_334:0000169","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","root number per plot counting|CO_334:0000011","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","18316","202393DVGST_stom","202393DVGST_stom","RCBD","1.6","3.2","","no","no","2023-September-25","2024-June-17","52","Santo Tomas. Atlantico, Colombia","2731984","AR18-1","","plot","8272114","202393DVGST_stom_rep1_AR18-1_593","1","1","593","21","13","test","","1","1","23.5","110","3.90625","2","3","2","1","4","4","4","140","50","3","1","1","3","2","11","1890","82","2","3","1","3","1","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","18316","202393DVGST_stom","202393DVGST_stom","RCBD","1.6","3.2","","no","no","2023-September-25","2024-June-17","52","Santo Tomas. Atlantico, Colombia","61487","AR42-4","","plot","8272291","202393DVGST_stom_rep1_AR42-4_114","1","1","114","4","3","test","","1","1","26.5","100","12.3046875","6.3","4","2","20","4","4","4","190","40","4","2","1","2","3","37","4900","296","0","4","1","3","1","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","18316","202393DVGST_stom","202393DVGST_stom","RCBD","1.6","3.2","","no","no","2023-September-25","2024-June-17","52","Santo Tomas. Atlantico, Colombia","272783","ARG73","","plot","8272525","202393DVGST_stom_rep1_ARG73_216","1","1","216","8","17","test","","0","1","25.2","250","5.46875","2.8","4","1","5","8","4","2","250","70","4","3","1","3","2","15","2480","132","5","4","1","2","1","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","18316","202393DVGST_stom","202393DVGST_stom","RCBD","1.6","3.2","","no","no","2023-September-25","2024-June-17","52","Santo Tomas. Atlantico, Colombia","2456917","AZULITA","","plot","8272318","202393DVGST_stom_rep1_AZULITA_9","1","1","9","1","9","test","","2","1","26.5226817042606","30","2.34375","1.2","4","2","1","6","4","4","180","40","4","3","1","3","3","12","850","52","0","4","1","3","1","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","18316","202393DVGST_stom","202393DVGST_stom","RCBD","1.6","3.2","","no","no","2023-September-25","2024-June-17","52","Santo Tomas. Atlantico, Colombia","54081","BRA1016","","plot","8272488","202393DVGST_stom_rep1_BRA1016_311","1","1","311","11","21","test","","1","1","26.1","90","10.3515625","5.3","4","2","14","8","4","2","210","50","4","3","1","3","3","28","4460","259","0","4","1","3","1","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","18316","202393DVGST_stom","202393DVGST_stom","RCBD","1.6","3.2","","no","no","2023-September-25","2024-June-17","52","Santo Tomas. Atlantico, Colombia","273346","BRA787","","plot","8272433","202393DVGST_stom_rep1_BRA787_599","1","1","599","21","19","test","","0","1","19.9","170","5.078125","2.6","3","2","8","6","4","3","170","60","4","1","1","3","3","22","2020","45","0","4","1","2","1","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","18316","202393DVGST_stom","202393DVGST_stom","RCBD","1.6","3.2","","no","no","2023-September-25","2024-June-17","52","Santo Tomas. Atlantico, Colombia","241975","BRA847","","plot","8272413","202393DVGST_stom_rep1_BRA847_85","1","1","85","3","27","test","","0","1","23.9","110","2.9296875","1.5","3","1","2","4","4","4","110","40","3","3","1","3","2","8","1070","49","0","3","1","2","1","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","18316","202393DVGST_stom","202393DVGST_stom","RCBD","1.6","3.2","","no","no","2023-September-25","2024-June-17","52","Santo Tomas. Atlantico, Colombia","54083","BRA97","","plot","8272104","202393DVGST_stom_rep1_BRA97_569","1","1","569","20","12","test","","0","1","23.5","190","3.515625","1.8","4","3","10","4","4","4","190","50","4","3","1","3","2","15","1700","74","0","4","1","2","1","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","18316","202393DVGST_stom","202393DVGST_stom","RCBD","1.6","3.2","","no","no","2023-September-25","2024-June-17","52","Santo Tomas. Atlantico, Colombia","139268","CM4919-1","","plot","8272233","202393DVGST_stom_rep1_CM4919-1_176","1","1","176","7","2","check","","0","1","27.9","190","16.6015625","8.5","4","1","25","8","4","2","190","60","4","3","1","2","3","45","4910","334","0","4","1","3","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","18316","202393DVGST_stom","202393DVGST_stom","RCBD","1.6","3.2","","no","no","2023-September-25","2024-June-17","52","Santo Tomas. Atlantico, Colombia","139268","CM4919-1","","plot","8272447","202393DVGST_stom_rep1_CM4919-1_426","1","1","426","15","20","test","","0","1","27","130","6.4453125","3.3","4","1","9","4","4","3","130","50","3","3","1","3","2","19","3260","207","0","4","1","3","1","5"," (Operator: lizbethpino, Time: )"
