"Date of Download: 2024-07-11_20:12:40"
"Search Parameters: Data Level:all  Trait List:  Trial List:11904  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","branching level counting|CO_334:0000079","dry matter content by specific gravity method|CO_334:0000160","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","marketable root number counting|CO_334:0000169","marketable root weight measurement in kg|CO_334:0000131","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","root number per plot counting|CO_334:0000011","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","2731984","AR18-1","","plot","6981615","202394DVGST_momi_rep1_AR18-1_215","1","1","215","6","32","test","","3","24.068691966088","70","10.4395604395604","3.8","5","2","3","1.25","8","4","3","240","20","4","1","1","4","2","14","2600","123","0","4","2","3","1","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","61487","AR42-4","","plot","6981506","202394DVGST_momi_rep1_AR42-4_422","1","1","422","11","12","test","","4","33.5805868044998","30","18.6813186813187","6.8","4","1","6","4.5","6","4","4","150","10","4","3","1","3","3","19","3650","361","0","4","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","272783","ARG73","","plot","6981678","202394DVGST_momi_rep1_ARG73_289","1","1","289","8","40","test","","1","30.7626436781609","220","11.8131868131868","4.3","5","1","5","3.65","12","4","2","270","30","4","3","1","3","2","11","2850","240","0","4","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","2456917","AZULITA","","plot","6981326","202394DVGST_momi_rep1_AZULITA_440","1","1","440","11","30","test","","2","30.0964829586657","30","28.5714285714286","10.4","5","2","6","7.5","8","4","4","265","30","4","3","1","2","3","16","4500","363","2","4","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","54081","BRA1016","","plot","6981807","202394DVGST_momi_rep1_BRA1016_529","1","1","529","13","37","test","","3","33.8555227509552","120","16.2087912087912","5.9","5","2","6","3.5","1","4","3","355","60","4","3","1","2","2","21","3200","321","1","4","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","273346","BRA787","","plot","6981476","202394DVGST_momi_rep1_BRA787_100","1","1","100","3","18","test","","2","25.6256316218419","150","4.12087912087912","1.5","3","2","0","0","12","4","3","280","20","3","1","1","5","2","11","1300","73","0","4","3","3","1","2"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","241975","BRA847","","plot","6981283","202394DVGST_momi_rep1_BRA847_162","1","1","162","4","3","test","","2","26.5634579439252","60","6.04395604395605","2.2","5","2","2","0.7","8","4","3","190","40","4","3","1","4","2","17","2850","175","1","4","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","54083","BRA97","","plot","6981668","202394DVGST_momi_rep1_BRA97_323","1","1","323","8","6","test","","3","32.0795323830958","120","33.3791208791209","12.15","5","2","20","10.3","8","4","3","300","30","4","3","1","1","3","35","4400","401","0","4","2","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","139257","CG1141-1","","plot","6981724","202394DVGST_momi_rep1_CG1141-1_201","1","1","201","5","37","test","","0","35.9925","290","15.3846153846154","5.6","5","1","6","2.5","10","4","2","290","90","4","3","1","3","2","24","2700","300","0","4","2","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","139268","CM4919-1","","plot","6981909","202394DVGST_momi_rep1_CM4919-1_160","1","1","160","4","5","test","","0","33.0582535885167","230","19.5054945054945","7.1","4","1","8","5.45","10","4","1","230","80","4","3","1","2","2","18","3700","356","0","4","1","3","1","4"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","139268","CM4919-1","","plot","6981518","202394DVGST_momi_rep1_CM4919-1_174","1","1","174","5","10","test","","0","32.6786802030456","250","24.3131868131868","8.85","5","1","10","7.5","10","4","2","250","70","4","3","1","2","2","18","4350","410","0","4","1","3","1","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","139532","CM523-7","","plot","6981532","202394DVGST_momi_rep1_CM523-7_263","1","1","263","7","17","test","","4","37.7909090909091","30","21.978021978022","8","5","1","10","6.6","8","4","4","230","30","3","3","1","2","2","17","4400","528","0","4","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","161630","CM8996-199","","plot","6981806","202394DVGST_momi_rep1_CM8996-199_200","1","1","200","5","36","test","","2","31.9576965365585","260","8.51648351648352","3.1","5","1","5","1.2","10","4","3","320","80","4","3","1","3","2","25","2000","181","0","4","2","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","161708","CM8996-246","","plot","6981855","202394DVGST_momi_rep1_CM8996-246_237","1","1","237","6","10","test","","1","31.1483584131327","40","7.14285714285714","2.6","5","1","3","0.75","8","4","2","260","20","4","3","1","3","1","18","2400","207","0","4","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11904","202394DVGST_momi","202394DVGST_momi","RCBD","1.3","2.8","","no","no","2023-September-07","2024-June-21","127","Momil. Cordoba, Colombia","162366","CM8996-581","","plot","6981626","202394DVGST_momi_rep1_CM8996-581_534","1","1","534","14","41","test","","6","28.2858417920896","40","17.3076923076923","6.3","5","2","5","2.8","8","4","4","205","40","3","1","1","3","2","37","3075","218","0","4","1","3","1","1"," (Operator: lizbethpino, Time: )"
