"Date of Download: 2024-07-31_16:55:27"
"Search Parameters: Data Level:all  Trait List:  Trial List:11905  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Change in weight after boiling computation percentage|month 10|boiling time 20 minutes|COMP:0000224","Change in weight after boiling computation percentage|month 10|boiling time 30 minutes|COMP:0000225","Total carotenes ug/g NIRS 400-2500 nm|CO_334:0001051","beta carotene content ug/g NIRS 400-2500 nm|CO_334:0001053","dry matter content by table-top NIRS in percentage|CO_334:0002057","first apical branch height measurement in cm|CO_334:0000106","frog skin disease : visual 1-5|CO_334:0000093","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root evaluation scaled 1-5|CO_334:0000228","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","thrips severity : visual 1-5|CO_334:0002084","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11905","202395DVGST_ciat","202395DVGST_ciat","Augmented","1.2","4","","no","no","2023-September-27","","41","CIAT. Valle, Colombia","2731984","AR18-1","","plot","6982605","202395DVGST_ciat_rep1_AR18-1_345","1","1","345","9","1","test","","","","2.7","1.5","39.1","25","","2","1","2","4","5","170","2","1","5","0","4","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11905","202395DVGST_ciat","202395DVGST_ciat","Augmented","1.2","4","","no","no","2023-September-27","","41","CIAT. Valle, Colombia","61487","AR42-4","","plot","6981991","202395DVGST_ciat_rep1_AR42-4_44","1","1","44","2","43","test","","8.6","19.1","1.1","0.6","40.4","80","","3","1","3","4","5","220","2","3","3","0","4","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11905","202395DVGST_ciat","202395DVGST_ciat","Augmented","1.2","4","","no","no","2023-September-27","","41","CIAT. Valle, Colombia","272783","ARG73","","plot","6982913","202395DVGST_ciat_rep1_ARG73_862","1","1","862","21","2","test","","5.4","10.7","1.6","1","42.1","115","4","2","2","5","4","4","245","2","3","4","0","4","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11905","202395DVGST_ciat","202395DVGST_ciat","Augmented","1.2","4","","no","no","2023-September-27","","41","CIAT. Valle, Colombia","2456917","AZULITA","","plot","6981950","202395DVGST_ciat_rep1_AZULITA_604","1","1","604","15","2","test","","","","","","","80","5","2","1","7","4","3","265","2","3","5","0","4","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11905","202395DVGST_ciat","202395DVGST_ciat","Augmented","1.2","4","","no","no","2023-September-27","","41","CIAT. Valle, Colombia","54081","BRA1016","","plot","6982538","202395DVGST_ciat_rep1_BRA1016_790","1","1","790","19","16","test","","12.5","28.7","1.6","1.3","44.6","75","","4","2","8","4","4","335","2","3","4","0","4","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11905","202395DVGST_ciat","202395DVGST_ciat","Augmented","1.2","4","","no","no","2023-September-27","","41","CIAT. Valle, Colombia","273346","BRA787","","plot","6982562","202395DVGST_ciat_rep1_BRA787_933","1","1","933","22","14","test","","","","","","","","","","","","4","","","","","","","4",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11905","202395DVGST_ciat","202395DVGST_ciat","Augmented","1.2","4","","no","no","2023-September-27","","41","CIAT. Valle, Colombia","241975","BRA847","","plot","6982072","202395DVGST_ciat_rep1_BRA847_651","1","1","651","16","38","test","","","","","","","60","","2","2","4","4","4","265","2","3","5","0","4","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11905","202395DVGST_ciat","202395DVGST_ciat","Augmented","1.2","4","","no","no","2023-September-27","","41","CIAT. Valle, Colombia","54083","BRA97","","plot","6982832","202395DVGST_ciat_rep1_BRA97_252","1","1","252","6","7","test","","12.9","21.8","0.3","0.6","42.6","55","3","3","1","5","4","4","325","2","3","4","0","4","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11905","202395DVGST_ciat","202395DVGST_ciat","Augmented","1.2","4","","no","no","2023-September-27","","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","6982274","202395DVGST_ciat_rep1_CG1141-1_121","1","1","121","3","35","check","","","","","","","50","","2","3","7","4","4","365","2","3","5","0","4","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11905","202395DVGST_ciat","202395DVGST_ciat","Augmented","1.2","4","","no","no","2023-September-27","","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","6982829","202395DVGST_ciat_rep1_CG1141-1_203","1","1","203","5","31","check","","","","","","","20","","2","2","7","4","4","335","","","","","4","1"," (Operator: lizbethpino, Time: )"
