"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","branch_number","CBB_3mon","DM_gravity","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","lodging1_3","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8","root_weight_commercial","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","DM_nirs","frogskin1_5","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","ave_WAB"
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_AR18-1_593",1,593,21,13,"test"," (Operator: lizbethpino, Time: )","AR18-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",1,1,23.5,110,3.90625,2,3,2,1,4,4,4,140,50,3,1,1,3,2,11,1890,82,2,3,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,4,75,3.90625,0.91796875,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_AR42-4_114",1,114,4,3,"test"," (Operator: lizbethpino, Time: )","AR42-4","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",1,1,26.5,100,12.3046875,6.3,4,2,20,4,4,4,190,40,4,2,1,2,3,37,4900,296,0,4,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,12.3046875,3.2607421875,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_ARG73_216",1,216,8,17,"test"," (Operator: lizbethpino, Time: )","ARG73","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,25.2,250,5.46875,2.8,4,1,5,8,4,2,250,70,4,3,1,3,2,15,2480,132,5,4,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,5.46875,1.378125,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_AZULITA_9",1,9,1,9,"test"," (Operator: lizbethpino, Time: )","AZULITA","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",2,1,26.5226817042606,30,2.34375,1.2,4,2,1,6,4,4,180,40,4,3,1,3,3,12,850,52,0,4,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,2.34375,0.621625352443608,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_BRA1016_311",1,311,11,21,"test"," (Operator: lizbethpino, Time: )","BRA1016","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",1,1,26.1,90,10.3515625,5.3,4,2,14,8,4,2,210,50,4,3,1,3,3,28,4460,259,0,4,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,10.3515625,2.7017578125,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_BRA787_599",1,599,21,19,"test"," (Operator: lizbethpino, Time: )","BRA787","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,19.9,170,5.078125,2.6,3,2,8,6,4,3,170,60,4,1,1,3,3,22,2020,45,0,4,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,5.078125,1.010546875,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_BRA847_85",1,85,3,27,"test"," (Operator: lizbethpino, Time: )","BRA847","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,23.9,110,2.9296875,1.5,3,1,2,4,4,4,110,40,3,3,1,3,2,8,1070,49,0,3,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,75,2.9296875,0.7001953125,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_BRA97_569",1,569,20,12,"test"," (Operator: lizbethpino, Time: )","BRA97","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,23.5,190,3.515625,1.8,4,3,10,4,4,4,190,50,4,3,1,3,2,15,1700,74,0,4,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,4,100,3.515625,0.826171875,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_CM4919-1_176",1,176,7,2,"check"," (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,27.9,190,16.6015625,8.5,4,1,25,8,4,2,190,60,4,3,1,2,3,45,4910,334,0,4,1,3,1,5,NA,NA,NA,NA,NA,NA,NA,4,100,16.6015625,4.6318359375,NA
2023,"202393DVGST_stom","202393DVGST_stom",1.6,3.2,"2023-September-25","2024-June-17","Santo Tomas. Atlantico, Colombia",NA,"202393DVGST_stom_rep1_CM4919-1_426",1,426,15,20,"test"," (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,27,130,6.4453125,3.3,4,1,9,4,4,3,130,50,3,3,1,3,2,19,3260,207,0,4,1,3,1,5,NA,NA,NA,NA,NA,NA,NA,4,100,6.4453125,1.740234375,NA
